method,power,fdp,seedB
vanilla,0.97,0.09345794392523364,1
multiple,0.97,0.03,1
vanilla,0.97,0.11818181818181818,2
multiple,0.96,0.030303030303030304,2
vanilla,0.95,0.10377358490566038,3
multiple,0.95,0.020618556701030927,3
vanilla,0.98,0.06666666666666667,4
multiple,0.97,0.03,4
vanilla,0.96,0.06796116504854369,5
multiple,0.96,0.02040816326530612,5
vanilla,0.97,0.0761904761904762,6
multiple,0.95,0.020618556701030927,6
vanilla,0.94,0.06930693069306931,7
multiple,0.96,0.030303030303030304,7
vanilla,0.95,0.14414414414414414,8
multiple,0.96,0.02040816326530612,8
vanilla,0.97,0.11818181818181818,9
multiple,0.97,0.020202020202020204,9
vanilla,0.95,0.05,10
multiple,0.96,0.030303030303030304,10
vanilla,0.95,0.13636363636363635,11
multiple,0.96,0.030303030303030304,11
vanilla,0.92,0.041666666666666664,12
multiple,0.96,0.030303030303030304,12
vanilla,0.96,0.1111111111111111,13
multiple,0.96,0.02040816326530612,13
vanilla,0.94,0.11320754716981132,14
multiple,0.96,0.02040816326530612,14
vanilla,0.97,0.14912280701754385,15
multiple,0.96,0.02040816326530612,15
vanilla,0.95,0.06862745098039216,16
multiple,0.96,0.02040816326530612,16
vanilla,0.97,0.049019607843137254,17
multiple,0.97,0.03,17
vanilla,0.95,0.06862745098039216,18
multiple,0.96,0.02040816326530612,18
vanilla,0.93,0.0970873786407767,19
multiple,0.96,0.02040816326530612,19
vanilla,0.93,0.10576923076923077,20
multiple,0.96,0.030303030303030304,20
