method,power,fdp,seedB
vanilla,0.85,0.11458333333333333,1
multiple,0.82,0.012048192771084338,1
vanilla,0.78,0.037037037037037035,2
multiple,0.8,0.012345679012345678,2
vanilla,0.78,0.025,3
multiple,0.8,0,3
vanilla,0.89,0.02197802197802198,4
multiple,0.81,0,4
vanilla,0.9,0.1,5
multiple,0.81,0,5
vanilla,0.73,0,6
multiple,0.79,0,6
vanilla,0.82,0.06818181818181818,7
multiple,0.79,0,7
vanilla,0.85,0.11458333333333333,8
multiple,0.81,0.012195121951219513,8
vanilla,0.85,0.06593406593406594,9
multiple,0.81,0,9
vanilla,0.86,0.044444444444444446,10
multiple,0.83,0.011904761904761904,10
vanilla,0.82,0.03529411764705882,11
multiple,0.8,0,11
vanilla,0.75,0.025974025974025976,12
multiple,0.81,0.012195121951219513,12
vanilla,0.88,0.06382978723404255,13
multiple,0.81,0,13
vanilla,0.78,0.037037037037037035,14
multiple,0.8,0,14
vanilla,0.86,0.10416666666666667,15
multiple,0.82,0.012048192771084338,15
vanilla,0.87,0.09375,16
multiple,0.79,0.0125,16
vanilla,0.84,0.06666666666666667,17
multiple,0.81,0,17
vanilla,0.86,0.06521739130434782,18
multiple,0.8,0,18
vanilla,0.85,0.05555555555555555,19
multiple,0.8,0,19
vanilla,0.86,0.022727272727272728,20
multiple,0.82,0,20
