method,power,fdp,seedB
vanilla,0.57,0.09523809523809523,1
multiple,0.6,0.03225806451612903,1
vanilla,0.74,0.18681318681318682,2
multiple,0.6,0.047619047619047616,2
vanilla,0.65,0.09722222222222222,3
multiple,0.57,0.05,3
vanilla,0.65,0.1095890410958904,4
multiple,0.62,0.046153846153846156,4
vanilla,0.57,0.109375,5
multiple,0.6,0.047619047619047616,5
vanilla,0.57,0.109375,6
multiple,0.61,0.046875,6
vanilla,0.64,0.1111111111111111,7
multiple,0.54,0.01818181818181818,7
vanilla,0.76,0.1827956989247312,8
multiple,0.6,0.047619047619047616,8
vanilla,0.73,0.10975609756097561,9
multiple,0.61,0.046875,9
vanilla,0.75,0.10714285714285714,10
multiple,0.6,0.047619047619047616,10
vanilla,0.74,0.1590909090909091,11
multiple,0.59,0.04838709677419355,11
vanilla,0.57,0.109375,12
multiple,0.59,0.04838709677419355,12
vanilla,0.62,0.1267605633802817,13
multiple,0.6,0.047619047619047616,13
vanilla,0.75,0.14772727272727273,14
multiple,0.58,0.04918032786885246,14
vanilla,0.73,0.09876543209876543,15
multiple,0.61,0.046875,15
vanilla,0.58,0.04918032786885246,16
multiple,0.59,0.04838709677419355,16
vanilla,0.49,0.057692307692307696,17
multiple,0.57,0.05,17
vanilla,0.67,0.11842105263157894,18
multiple,0.58,0.04918032786885246,18
vanilla,0.65,0.04411764705882353,19
multiple,0.6,0.047619047619047616,19
vanilla,0.65,0.12162162162162163,20
multiple,0.59,0.03278688524590164,20
