method,power,fdp,seedB
vanilla,0.66,0.13157894736842105,1
multiple,0.58,0.03333333333333333,1
vanilla,0.7,0.14634146341463414,2
multiple,0.57,0.03389830508474576,2
vanilla,0.66,0.08333333333333333,3
multiple,0.58,0.03333333333333333,3
vanilla,0.7,0.16666666666666666,4
multiple,0.57,0.017241379310344827,4
vanilla,0.61,0.14084507042253522,5
multiple,0.58,0.03333333333333333,5
vanilla,0.64,0.08571428571428572,6
multiple,0.57,0.03389830508474576,6
vanilla,0.66,0.16455696202531644,7
multiple,0.56,0.017543859649122806,7
vanilla,0.64,0.14666666666666667,8
multiple,0.58,0.04918032786885246,8
vanilla,0.69,0.1038961038961039,9
multiple,0.54,0.01818181818181818,9
vanilla,0.57,0.09523809523809523,10
multiple,0.56,0.017543859649122806,10
vanilla,0.66,0.18518518518518517,11
multiple,0.56,0.017543859649122806,11
vanilla,0.71,0.1125,12
multiple,0.56,0.034482758620689655,12
vanilla,0.66,0.0958904109589041,13
multiple,0.56,0.017543859649122806,13
vanilla,0.68,0.15,14
multiple,0.56,0.034482758620689655,14
vanilla,0.62,0.08823529411764706,15
multiple,0.57,0.03389830508474576,15
vanilla,0.67,0.0945945945945946,16
multiple,0.54,0.01818181818181818,16
vanilla,0.7,0.16666666666666666,17
multiple,0.58,0.03333333333333333,17
vanilla,0.67,0.1625,18
multiple,0.54,0.03571428571428571,18
vanilla,0.63,0.11267605633802817,19
multiple,0.56,0.034482758620689655,19
vanilla,0.65,0.07142857142857142,20
multiple,0.54,0.03571428571428571,20
