method,power,fdp,seedB
vanilla,0.87,0,1
multiple,0.91,0.010869565217391304,1
vanilla,0.94,0.050505050505050504,2
multiple,0.9,0.01098901098901099,2
vanilla,0.92,0.1320754716981132,3
multiple,0.92,0.010752688172043012,3
vanilla,0.93,0.021052631578947368,4
multiple,0.91,0.010869565217391304,4
vanilla,0.88,0.053763440860215055,5
multiple,0.93,0.010638297872340425,5
vanilla,0.88,0.022222222222222223,6
multiple,0.92,0.010752688172043012,6
vanilla,0.95,0.0594059405940594,7
multiple,0.92,0.010752688172043012,7
vanilla,0.92,0.02127659574468085,8
multiple,0.91,0.010869565217391304,8
vanilla,0.94,0.06930693069306931,9
multiple,0.91,0.010869565217391304,9
vanilla,0.92,0.061224489795918366,10
multiple,0.9,0.01098901098901099,10
vanilla,0.93,0.041237113402061855,11
multiple,0.93,0.010638297872340425,11
vanilla,0.95,0.0594059405940594,12
multiple,0.93,0.010638297872340425,12
vanilla,0.92,0.061224489795918366,13
multiple,0.91,0.010869565217391304,13
vanilla,0.93,0.03125,14
multiple,0.92,0.010752688172043012,14
vanilla,0.91,0.052083333333333336,15
multiple,0.92,0.010752688172043012,15
vanilla,0.92,0.0891089108910891,16
multiple,0.92,0.010752688172043012,16
vanilla,0.88,0.022222222222222223,17
multiple,0.93,0.010638297872340425,17
vanilla,0.9,0.03225806451612903,18
multiple,0.91,0.010869565217391304,18
vanilla,0.95,0.05,19
multiple,0.92,0.010752688172043012,19
vanilla,0.94,0.04081632653061224,20
multiple,0.91,0.010869565217391304,20
