method,power,fdp,seedB
vanilla,0.43,0.044444444444444446,1
multiple,0.31,0.03125,1
vanilla,0.45,0.1,2
multiple,0.31,0.03125,2
vanilla,0.26,0.037037037037037035,3
multiple,0.3,0,3
vanilla,0.25,0,4
multiple,0.34,0.02857142857142857,4
vanilla,0.51,0.07272727272727272,5
multiple,0.29,0,5
vanilla,0.4,0.09090909090909091,6
multiple,0.35,0.027777777777777776,6
vanilla,0.58,0.17142857142857143,7
multiple,0.3,0,7
vanilla,0.5,0.12280701754385964,8
multiple,0.34,0.02857142857142857,8
vanilla,0.43,0.022727272727272728,9
multiple,0.27,0,9
vanilla,0.48,0.09433962264150944,10
multiple,0.29,0,10
vanilla,0.31,0.03125,11
multiple,0.31,0.03125,11
vanilla,0.54,0.11475409836065574,12
multiple,0.32,0.030303030303030304,12
vanilla,0.39,0.025,13
multiple,0.3,0,13
vanilla,0.46,0.08,14
multiple,0.32,0,14
vanilla,0.56,0.1111111111111111,15
multiple,0.33,0.029411764705882353,15
vanilla,0.55,0.15384615384615385,16
multiple,0.3,0.03225806451612903,16
vanilla,0.43,0.044444444444444446,17
multiple,0.33,0.029411764705882353,17
vanilla,0.5,0.0196078431372549,18
multiple,0.32,0.030303030303030304,18
vanilla,0.42,0.045454545454545456,19
multiple,0.33,0.029411764705882353,19
vanilla,0.42,0.045454545454545456,20
multiple,0.33,0.029411764705882353,20
