method,power,fdp,seedB
vanilla,0.38,0.07317073170731707,1
multiple,0.28,0,1
vanilla,0.43,0.022727272727272728,2
multiple,0.21,0,2
vanilla,0.26,0,3
multiple,0.27,0,3
vanilla,0.3,0.03225806451612903,4
multiple,0.29,0,4
vanilla,0.33,0.08333333333333333,5
multiple,0.28,0,5
vanilla,0.21,0,6
multiple,0.27,0,6
vanilla,0.34,0,7
multiple,0.27,0,7
vanilla,0.47,0.0784313725490196,8
multiple,0.27,0,8
vanilla,0.38,0.07317073170731707,9
multiple,0.23,0,9
vanilla,0.47,0.0784313725490196,10
multiple,0.25,0,10
vanilla,0.44,0.10204081632653061,11
multiple,0.23,0,11
vanilla,0.18,0,12
multiple,0.27,0,12
vanilla,0.46,0.1320754716981132,13
multiple,0.23,0,13
vanilla,0.32,0.030303030303030304,14
multiple,0.3,0,14
vanilla,0.26,0,15
multiple,0.28,0,15
vanilla,0.41,0.046511627906976744,16
multiple,0.29,0,16
vanilla,0.14,0,17
multiple,0.3,0,17
vanilla,0.31,0,18
multiple,0.3,0,18
vanilla,0.25,0,19
multiple,0.27,0,19
vanilla,0.32,0,20
multiple,0,0,20
