method,power,fdp,seedB
vanilla,0.98,0.06666666666666667,1
multiple,1,0.0196078431372549,1
vanilla,1,0.05660377358490566,2
multiple,0.99,0.019801980198019802,2
vanilla,0.98,0.10909090909090909,3
multiple,0.99,0.019801980198019802,3
vanilla,0.99,0.04807692307692308,4
multiple,0.99,0.019801980198019802,4
vanilla,0.99,0.07476635514018691,5
multiple,1,0.0196078431372549,5
vanilla,0.97,0.09345794392523364,6
multiple,1,0.0196078431372549,6
vanilla,0.99,0.10810810810810811,7
multiple,0.99,0.019801980198019802,7
vanilla,0.96,0.06796116504854369,8
multiple,0.99,0.038834951456310676,8
vanilla,0.99,0.04807692307692308,9
multiple,1,0.02912621359223301,9
vanilla,0.98,0.10909090909090909,10
multiple,0.99,0.019801980198019802,10
vanilla,0.96,0.06796116504854369,11
multiple,0.99,0.019801980198019802,11
vanilla,0.97,0.11818181818181818,12
multiple,1,0.0196078431372549,12
vanilla,1,0.0990990990990991,13
multiple,1,0.02912621359223301,13
vanilla,0.99,0.12389380530973451,14
multiple,1,0.02912621359223301,14
vanilla,0.99,0.08333333333333333,15
multiple,0.98,0.02,15
vanilla,0.98,0.06666666666666667,16
multiple,1,0.038461538461538464,16
vanilla,0.99,0.07476635514018691,17
multiple,0.99,0.019801980198019802,17
vanilla,0.99,0.13157894736842105,18
multiple,0.99,0.019801980198019802,18
vanilla,0.98,0.11711711711711711,19
multiple,0.99,0.019801980198019802,19
vanilla,1,0.02912621359223301,20
multiple,0.98,0.02,20
