method,power,fdp,seedB
vanilla,0.98,0.0297029702970297,1
multiple,0.98,0.02,1
vanilla,0.96,0.04950495049504951,2
multiple,0.98,0.02,2
vanilla,0.97,0.039603960396039604,3
multiple,0.98,0.02,3
vanilla,0.98,0.057692307692307696,4
multiple,0.98,0.02,4
vanilla,0.97,0.08490566037735849,5
multiple,0.98,0.010101010101010102,5
vanilla,0.97,0.12612612612612611,6
multiple,0.98,0.010101010101010102,6
vanilla,0.96,0.12727272727272726,7
multiple,0.98,0.02,7
vanilla,0.98,0.14035087719298245,8
multiple,0.98,0.0297029702970297,8
vanilla,0.98,0.057692307692307696,9
multiple,0.98,0.010101010101010102,9
vanilla,0.97,0.11818181818181818,10
multiple,0.98,0.010101010101010102,10
vanilla,0.99,0.1,11
multiple,0.98,0.010101010101010102,11
vanilla,0.99,0.07476635514018691,12
multiple,0.98,0.010101010101010102,12
vanilla,0.98,0.09259259259259259,13
multiple,0.98,0.010101010101010102,13
vanilla,0.97,0.12612612612612611,14
multiple,0.98,0.010101010101010102,14
vanilla,0.99,0.2556390977443609,15
multiple,0.98,0.010101010101010102,15
vanilla,0.97,0.0761904761904762,16
multiple,0.98,0.02,16
vanilla,0.98,0.14782608695652175,17
multiple,0.98,0.010101010101010102,17
vanilla,0.96,0.058823529411764705,18
multiple,0.98,0.02,18
vanilla,0.98,0.1694915254237288,19
multiple,0.98,0.02,19
vanilla,0.98,0.13274336283185842,20
multiple,0.98,0.010101010101010102,20
