method,power,fdp,seedB
vanilla,0.78,0.04878048780487805,1
multiple,0.84,0.023255813953488372,1
vanilla,0.9,0.14285714285714285,2
multiple,0.79,0.024691358024691357,2
vanilla,0.91,0.125,3
multiple,0.81,0.024096385542168676,3
vanilla,0.76,0.07317073170731707,4
multiple,0.78,0.025,4
vanilla,0.85,0.07608695652173914,5
multiple,0.81,0.012195121951219513,5
vanilla,0.9,0.08163265306122448,6
multiple,0.79,0.024691358024691357,6
vanilla,0.87,0.08421052631578947,7
multiple,0.8,0.024390243902439025,7
vanilla,0.77,0.0375,8
multiple,0.79,0.0125,8
vanilla,0.85,0.07608695652173914,9
multiple,0.8,0.012345679012345678,9
vanilla,0.95,0.14414414414414414,10
multiple,0.8,0.024390243902439025,10
vanilla,0.8,0.08045977011494253,11
multiple,0.8,0.012345679012345678,11
vanilla,0.87,0.11224489795918367,12
multiple,0.82,0.023809523809523808,12
vanilla,0.91,0.13333333333333333,13
multiple,0.81,0.012195121951219513,13
vanilla,0.86,0.07526881720430108,14
multiple,0.8,0.024390243902439025,14
vanilla,0.77,0.0375,15
multiple,0.8,0.024390243902439025,15
vanilla,0.93,0.0970873786407767,16
multiple,0.8,0.012345679012345678,16
vanilla,0.77,0.07228915662650602,17
multiple,0.8,0.024390243902439025,17
vanilla,0.9,0.11764705882352941,18
multiple,0.8,0.012345679012345678,18
vanilla,0.88,0.14563106796116504,19
multiple,0.81,0.024096385542168676,19
vanilla,0.83,0.056818181818181816,20
multiple,0.78,0.025,20
