method,power,fdp,seedB
vanilla,0.975,0.15217391304347827,1
multiple,1,0.03614457831325301,1
vanilla,0.975,0.025,2
multiple,0.9875,0.036585365853658534,2
vanilla,0.9875,0.04819277108433735,3
multiple,1,0.047619047619047616,3
vanilla,1,0.13043478260869565,4
multiple,0.9875,0.04819277108433735,4
vanilla,0.9875,0.09195402298850575,5
multiple,0.9875,0.036585365853658534,5
vanilla,0.975,0.14285714285714285,6
multiple,0.9875,0.036585365853658534,6
vanilla,0.9875,0.10227272727272728,7
multiple,0.9875,0.036585365853658534,7
vanilla,0.9875,0.12222222222222222,8
multiple,1,0.047619047619047616,8
vanilla,1,0.15789473684210525,9
multiple,0.9875,0.036585365853658534,9
vanilla,0.9875,0.13186813186813187,10
multiple,0.9875,0.036585365853658534,10
vanilla,1,0.1111111111111111,11
multiple,0.9875,0.036585365853658534,11
vanilla,0.9875,0.15053763440860216,12
multiple,0.9875,0.036585365853658534,12
vanilla,0.9875,0.12222222222222222,13
multiple,0.9875,0.036585365853658534,13
vanilla,0.9625,0.11494252873563218,14
multiple,0.9875,0.036585365853658534,14
vanilla,0.9875,0.08139534883720931,15
multiple,0.9875,0.036585365853658534,15
vanilla,0.975,0.15217391304347827,16
multiple,0.9875,0.036585365853658534,16
vanilla,0.9875,0.08139534883720931,17
multiple,0.9875,0.036585365853658534,17
vanilla,0.9875,0.13186813186813187,18
multiple,0.9875,0.036585365853658534,18
vanilla,0.9625,0.09411764705882353,19
multiple,0.9875,0.04819277108433735,19
vanilla,0.975,0.15217391304347827,20
multiple,0.9875,0.036585365853658534,20
