method,power,fdp,seedB
vanilla,0.975,0.025,1
multiple,0.9875,0.0125,1
vanilla,0.9875,0.08139534883720931,2
multiple,0.9875,0.0125,2
vanilla,0.975,0.10344827586206896,3
multiple,0.975,0.012658227848101266,3
vanilla,0.9625,0.09411764705882353,4
multiple,0.9875,0.024691358024691357,4
vanilla,0.9875,0.07058823529411765,5
multiple,0.975,0,5
vanilla,0.975,0.04878048780487805,6
multiple,0.975,0.012658227848101266,6
vanilla,0.9875,0.07058823529411765,7
multiple,0.9875,0,7
vanilla,0.9875,0.11235955056179775,8
multiple,0.9875,0.0125,8
vanilla,0.9875,0.15053763440860216,9
multiple,0.9875,0.0125,9
vanilla,0.9875,0.05952380952380952,10
multiple,0.975,0.012658227848101266,10
vanilla,0.9625,0.06097560975609756,11
multiple,0.9875,0,11
vanilla,0.9875,0.04819277108433735,12
multiple,0.9875,0.0125,12
vanilla,0.975,0.037037037037037035,13
multiple,0.9875,0,13
vanilla,0.975,0.10344827586206896,14
multiple,0.9875,0,14
vanilla,0.975,0.13333333333333333,15
multiple,0.9875,0.0125,15
vanilla,0.975,0.060240963855421686,16
multiple,0.975,0.012658227848101266,16
vanilla,0.975,0.07142857142857142,17
multiple,0.9875,0.0125,17
vanilla,0.9625,0.06097560975609756,18
multiple,0.9875,0.0125,18
vanilla,0.9875,0.036585365853658534,19
multiple,0.9875,0.0125,19
vanilla,0.9875,0.13186813186813187,20
multiple,0.9875,0.0125,20
