method,power,fdp,seedB
vanilla,0.5875,0.0784313725490196,1
multiple,0.4375,0,1
vanilla,0.525,0.045454545454545456,2
multiple,0.4375,0,2
vanilla,0.45,0.02702702702702703,3
multiple,0.45,0,3
vanilla,0.6,0.09433962264150944,4
multiple,0.4375,0,4
vanilla,0.525,0.023255813953488372,5
multiple,0.4625,0,5
vanilla,0.525,0,6
multiple,0.45,0,6
vanilla,0.5,0,7
multiple,0.475,0,7
vanilla,0.6375,0.08928571428571429,8
multiple,0.4375,0,8
vanilla,0.575,0.11538461538461539,9
multiple,0.425,0,9
vanilla,0.375,0,10
multiple,0.45,0,10
vanilla,0.575,0.11538461538461539,11
multiple,0.4375,0,11
vanilla,0.4125,0,12
multiple,0.4625,0,12
vanilla,0.4375,0,13
multiple,0.45,0,13
vanilla,0.5125,0.06818181818181818,14
multiple,0.4625,0,14
vanilla,0.45,0.05263157894736842,15
multiple,0.45,0,15
vanilla,0.575,0.02127659574468085,16
multiple,0.475,0,16
vanilla,0.6375,0.05555555555555555,17
multiple,0.45,0,17
vanilla,0.5,0.024390243902439025,18
multiple,0.475,0,18
vanilla,0.575,0.08,19
multiple,0.45,0,19
vanilla,0.525,0,20
multiple,0.4625,0,20
