method,power,fdp,seedB
vanilla,0.3625,0.12121212121212122,1
multiple,0.2125,0,1
vanilla,0.3,0.04,2
multiple,0,0,2
vanilla,0.6125,0.20967741935483872,3
multiple,0.225,0,3
vanilla,0.3125,0.07407407407407407,4
multiple,0,0,4
vanilla,0.375,0.03225806451612903,5
multiple,0,0,5
vanilla,0.3875,0.03125,6
multiple,0,0,6
vanilla,0.45,0.07692307692307693,7
multiple,0,0,7
vanilla,0.35,0.06666666666666667,8
multiple,0.2375,0,8
vanilla,0.475,0.11627906976744186,9
multiple,0,0,9
vanilla,0.3625,0.06451612903225806,10
multiple,0.25,0.047619047619047616,10
vanilla,0.35,0.0967741935483871,11
multiple,0,0,11
vanilla,0.575,0.16363636363636364,12
multiple,0,0,12
vanilla,0.15,0,13
multiple,0,0,13
vanilla,0.1625,0,14
multiple,0.225,0,14
vanilla,0.55,0.21428571428571427,15
multiple,0.225,0,15
vanilla,0.1375,0,16
multiple,0.2,0,16
vanilla,0.4375,0.07894736842105263,17
multiple,0,0,17
vanilla,0.3875,0.08823529411764706,18
multiple,0,0,18
vanilla,0.2625,0.08695652173913043,19
multiple,0,0,19
vanilla,0.4,0.1111111111111111,20
multiple,0,0,20
