method,power,fdp,seedB
vanilla,0.9875,0.09195402298850575,1
multiple,0.9875,0.05952380952380952,1
vanilla,1,0.047619047619047616,2
multiple,1,0.047619047619047616,2
vanilla,1,0.14893617021276595,3
multiple,1,0.058823529411764705,3
vanilla,1,0.058823529411764705,4
multiple,0.9875,0.05952380952380952,4
vanilla,0.9875,0.12222222222222222,5
multiple,1,0.047619047619047616,5
vanilla,0.9875,0.05952380952380952,6
multiple,1,0.058823529411764705,6
vanilla,1,0.12087912087912088,7
multiple,0.9875,0.04819277108433735,7
vanilla,1,0.08045977011494253,8
multiple,0.9875,0.036585365853658534,8
vanilla,0.9875,0.036585365853658534,9
multiple,1,0.047619047619047616,9
vanilla,0.975,0.08235294117647059,10
multiple,1,0.058823529411764705,10
vanilla,0.9875,0.09195402298850575,11
multiple,0.9875,0.05952380952380952,11
vanilla,1,0.06976744186046512,12
multiple,0.9875,0.04819277108433735,12
vanilla,1,0.14893617021276595,13
multiple,1,0.058823529411764705,13
vanilla,0.9875,0.10227272727272728,14
multiple,1,0.047619047619047616,14
vanilla,0.9875,0.07058823529411765,15
multiple,0.9875,0.036585365853658534,15
vanilla,0.975,0.060240963855421686,16
multiple,1,0.058823529411764705,16
vanilla,1,0.14893617021276595,17
multiple,1,0.047619047619047616,17
vanilla,0.9875,0.10227272727272728,18
multiple,0.9875,0.036585365853658534,18
vanilla,0.9875,0.024691358024691357,19
multiple,0.9875,0.04819277108433735,19
vanilla,1,0.08045977011494253,20
multiple,0.9875,0.036585365853658534,20
