method,power,fdp,seedB
vanilla,1,0.14893617021276595,1
multiple,0.9875,0.036585365853658534,1
vanilla,0.975,0.15217391304347827,2
multiple,0.9875,0.04819277108433735,2
vanilla,0.9875,0.05952380952380952,3
multiple,0.9875,0.04819277108433735,3
vanilla,0.9875,0.1595744680851064,4
multiple,0.9875,0.04819277108433735,4
vanilla,0.9875,0.14130434782608695,5
multiple,0.9875,0.07058823529411765,5
vanilla,1,0.13043478260869565,6
multiple,0.9875,0.05952380952380952,6
vanilla,0.975,0.22772277227722773,7
multiple,0.9875,0.05952380952380952,7
vanilla,0.9875,0.09195402298850575,8
multiple,0.9875,0.04819277108433735,8
vanilla,1,0.14893617021276595,9
multiple,0.9875,0.05952380952380952,9
vanilla,0.95,0.12643678160919541,10
multiple,0.9875,0.04819277108433735,10
vanilla,0.975,0.08235294117647059,11
multiple,0.9875,0.05952380952380952,11
vanilla,0.9875,0.18556701030927836,12
multiple,0.9875,0.04819277108433735,12
vanilla,0.975,0.08235294117647059,13
multiple,0.9875,0.04819277108433735,13
vanilla,0.9375,0.14772727272727273,14
multiple,0.9875,0.036585365853658534,14
vanilla,1,0.15789473684210525,15
multiple,0.9875,0.04819277108433735,15
vanilla,1,0.12087912087912088,16
multiple,0.9875,0.04819277108433735,16
vanilla,1,0.13043478260869565,17
multiple,0.9875,0.04819277108433735,17
vanilla,0.9875,0.09195402298850575,18
multiple,0.9875,0.036585365853658534,18
vanilla,0.9875,0.1595744680851064,19
multiple,0.9875,0.04819277108433735,19
vanilla,0.9125,0.09876543209876543,20
multiple,0.9875,0.036585365853658534,20
