method,power,fdp,seedB
vanilla,0.9875,0.09195402298850575,1
multiple,0.9625,0.02531645569620253,1
vanilla,0.95,0.012987012987012988,2
multiple,0.9625,0.0375,2
vanilla,0.975,0.08235294117647059,3
multiple,0.9625,0.02531645569620253,3
vanilla,0.9625,0.06097560975609756,4
multiple,0.9625,0.02531645569620253,4
vanilla,1,0.12087912087912088,5
multiple,0.9625,0.02531645569620253,5
vanilla,0.975,0.07142857142857142,6
multiple,0.9625,0.02531645569620253,6
vanilla,0.9875,0.05952380952380952,7
multiple,0.9625,0.02531645569620253,7
vanilla,0.9875,0.14130434782608695,8
multiple,0.9625,0.0375,8
vanilla,0.9375,0.05063291139240506,9
multiple,0.9625,0.02531645569620253,9
vanilla,0.9875,0.11235955056179775,10
multiple,0.975,0.04878048780487805,10
vanilla,0.9625,0.06097560975609756,11
multiple,0.9625,0.02531645569620253,11
vanilla,1,0.058823529411764705,12
multiple,0.9625,0.0375,12
vanilla,1,0.13043478260869565,13
multiple,0.9625,0.02531645569620253,13
vanilla,0.975,0.060240963855421686,14
multiple,0.9625,0.02531645569620253,14
vanilla,0.9875,0.07058823529411765,15
multiple,0.9625,0.01282051282051282,15
vanilla,0.975,0.08235294117647059,16
multiple,0.9625,0.01282051282051282,16
vanilla,0.9375,0.038461538461538464,17
multiple,0.9625,0.02531645569620253,17
vanilla,0.975,0.10344827586206896,18
multiple,0.9625,0.01282051282051282,18
vanilla,0.9625,0.09411764705882353,19
multiple,0.9625,0.04938271604938271,19
vanilla,0.9625,0.08333333333333333,20
multiple,0.9625,0.02531645569620253,20
