method,power,fdp,seedB
vanilla,0.9,0.02702702702702703,1
multiple,0.925,0,1
vanilla,0.9625,0.09411764705882353,2
multiple,0.9375,0,2
vanilla,0.9625,0.11494252873563218,3
multiple,0.9375,0.013157894736842105,3
vanilla,0.9375,0.0963855421686747,4
multiple,0.95,0.02564102564102564,4
vanilla,0.9625,0.06097560975609756,5
multiple,0.9375,0,5
vanilla,0.9625,0.04938271604938271,6
multiple,0.95,0.012987012987012988,6
vanilla,0.95,0.06172839506172839,7
multiple,0.95,0.012987012987012988,7
vanilla,0.975,0.11363636363636363,8
multiple,0.9375,0.013157894736842105,8
vanilla,0.975,0.15217391304347827,9
multiple,0.95,0.012987012987012988,9
vanilla,0.975,0.060240963855421686,10
multiple,0.95,0.012987012987012988,10
vanilla,0.925,0.05128205128205128,11
multiple,0.9375,0,11
vanilla,0.925,0.03896103896103896,12
multiple,0.95,0.012987012987012988,12
vanilla,0.95,0.0379746835443038,13
multiple,0.9375,0,13
vanilla,0.9625,0.10465116279069768,14
multiple,0.95,0,14
vanilla,0.975,0.13333333333333333,15
multiple,0.9375,0.013157894736842105,15
vanilla,0.9375,0.05063291139240506,16
multiple,0.95,0.012987012987012988,16
vanilla,0.9,0.06493506493506493,17
multiple,0.9375,0.013157894736842105,17
vanilla,0.875,0.0410958904109589,18
multiple,0.9625,0.01282051282051282,18
vanilla,0.9125,0.02666666666666667,19
multiple,0.9375,0.013157894736842105,19
vanilla,0.975,0.13333333333333333,20
multiple,0.95,0,20
