method,power,fdp,seedB
vanilla,1,0.13043478260869565,1
multiple,1,0.024390243902439025,1
vanilla,1,0.058823529411764705,2
multiple,1,0.024390243902439025,2
vanilla,1,0.1111111111111111,3
multiple,1,0.047619047619047616,3
vanilla,0.9875,0.07058823529411765,4
multiple,1,0.03614457831325301,4
vanilla,0.9875,0.07058823529411765,5
multiple,1,0.03614457831325301,5
vanilla,1,0.13043478260869565,6
multiple,1,0.03614457831325301,6
vanilla,1,0.09090909090909091,7
multiple,1,0.047619047619047616,7
vanilla,0.975,0.08235294117647059,8
multiple,1,0.03614457831325301,8
vanilla,1,0.024390243902439025,9
multiple,1,0.03614457831325301,9
vanilla,1,0.09090909090909091,10
multiple,1,0.03614457831325301,10
vanilla,1,0.14893617021276595,11
multiple,1,0.03614457831325301,11
vanilla,1,0.13043478260869565,12
multiple,1,0.03614457831325301,12
vanilla,0.9875,0.05952380952380952,13
multiple,1,0.024390243902439025,13
vanilla,0.9875,0.07058823529411765,14
multiple,1,0.03614457831325301,14
vanilla,1,0.08045977011494253,15
multiple,1,0.047619047619047616,15
vanilla,0.9625,0.07228915662650602,16
multiple,1,0.024390243902439025,16
vanilla,1,0.06976744186046512,17
multiple,1,0.024390243902439025,17
vanilla,0.9875,0.04819277108433735,18
multiple,1,0.024390243902439025,18
vanilla,1,0.09090909090909091,19
multiple,1,0.047619047619047616,19
vanilla,0.9875,0.08139534883720931,20
multiple,1,0.03614457831325301,20
