method,power,fdp,seedB
vanilla,0.9875,0.13186813186813187,1
multiple,0.975,0.04878048780487805,1
vanilla,1,0.22330097087378642,2
multiple,0.975,0.04878048780487805,2
vanilla,0.975,0.17894736842105263,3
multiple,0.975,0.037037037037037035,3
vanilla,0.9875,0.12222222222222222,4
multiple,0.975,0.04878048780487805,4
vanilla,0.975,0.14285714285714285,5
multiple,0.975,0.04878048780487805,5
vanilla,0.975,0.10344827586206896,6
multiple,0.975,0.037037037037037035,6
vanilla,0.95,0.07317073170731707,7
multiple,0.975,0.037037037037037035,7
vanilla,0.9625,0.14444444444444443,8
multiple,0.975,0.04878048780487805,8
vanilla,0.9875,0.14130434782608695,9
multiple,0.975,0.037037037037037035,9
vanilla,0.9625,0.15384615384615385,10
multiple,0.975,0.037037037037037035,10
vanilla,1,0.2,11
multiple,0.975,0.04878048780487805,11
vanilla,0.975,0.14285714285714285,12
multiple,0.975,0.04878048780487805,12
vanilla,0.9875,0.05952380952380952,13
multiple,0.975,0.04878048780487805,13
vanilla,0.9625,0.14444444444444443,14
multiple,0.975,0.037037037037037035,14
vanilla,0.9625,0.07228915662650602,15
multiple,0.975,0.037037037037037035,15
vanilla,0.9375,0.0625,16
multiple,0.975,0.04878048780487805,16
vanilla,0.95,0.06172839506172839,17
multiple,0.975,0.04878048780487805,17
vanilla,0.9625,0.04938271604938271,18
multiple,0.975,0.037037037037037035,18
vanilla,0.975,0.07142857142857142,19
multiple,0.975,0.037037037037037035,19
vanilla,0.95,0.15555555555555556,20
multiple,0.975,0.037037037037037035,20
