method,power,fdp,seedB
vanilla,0.55,0.10204081632653061,1
multiple,0.4625,0.02631578947368421,1
vanilla,0.475,0.13636363636363635,2
multiple,0.45,0,2
vanilla,0.525,0.045454545454545456,3
multiple,0.4625,0,3
vanilla,0.45,0.05263157894736842,4
multiple,0.3875,0,4
vanilla,0.525,0.06666666666666667,5
multiple,0.4625,0,5
vanilla,0.5125,0.06818181818181818,6
multiple,0.45,0,6
vanilla,0.4875,0.13333333333333333,7
multiple,0.45,0,7
vanilla,0.5375,0.0851063829787234,8
multiple,0.4375,0,8
vanilla,0.3875,0,9
multiple,0.425,0,9
vanilla,0.6375,0.08928571428571429,10
multiple,0.3875,0,10
vanilla,0.45,0.02702702702702703,11
multiple,0.45,0,11
vanilla,0.525,0.08695652173913043,12
multiple,0.4125,0,12
vanilla,0.4375,0.027777777777777776,13
multiple,0.375,0,13
vanilla,0.425,0.02857142857142857,14
multiple,0.3875,0,14
vanilla,0.375,0.03225806451612903,15
multiple,0.4125,0,15
vanilla,0.4875,0.025,16
multiple,0.425,0,16
vanilla,0.625,0.16666666666666666,17
multiple,0.4375,0,17
vanilla,0.4875,0.11363636363636363,18
multiple,0.4625,0,18
vanilla,0.525,0.125,19
multiple,0.4375,0.027777777777777776,19
vanilla,0.5875,0.11320754716981132,20
multiple,0.425,0,20
