method,power,fdp,seedB
vanilla,0.925,0.11904761904761904,1
multiple,0.925,0.06329113924050633,1
vanilla,0.9125,0.10975609756097561,2
multiple,0.925,0.075,2
vanilla,0.875,0.06666666666666667,3
multiple,0.925,0.06329113924050633,3
vanilla,0.9,0.07692307692307693,4
multiple,0.925,0.06329113924050633,4
vanilla,0.95,0.2,5
multiple,0.925,0.06329113924050633,5
vanilla,0.95,0.24,6
multiple,0.925,0.06329113924050633,6
vanilla,0.9125,0.1511627906976744,7
multiple,0.9125,0.0759493670886076,7
vanilla,0.95,0.14606741573033707,8
multiple,0.925,0.05128205128205128,8
vanilla,0.9125,0.09876543209876543,9
multiple,0.925,0.06329113924050633,9
vanilla,0.9375,0.10714285714285714,10
multiple,0.925,0.06329113924050633,10
vanilla,0.8875,0.15476190476190477,11
multiple,0.925,0.05128205128205128,11
vanilla,0.8875,0.1125,12
multiple,0.925,0.06329113924050633,12
vanilla,0.925,0.13953488372093023,13
multiple,0.925,0.02631578947368421,13
vanilla,0.9,0.05263157894736842,14
multiple,0.9125,0.05194805194805195,14
vanilla,0.9,0.06493506493506493,15
multiple,0.925,0.06329113924050633,15
vanilla,0.9125,0.21505376344086022,16
multiple,0.925,0.06329113924050633,16
vanilla,0.925,0.14942528735632185,17
multiple,0.925,0.05128205128205128,17
vanilla,0.9375,0.0963855421686747,18
multiple,0.925,0.06329113924050633,18
vanilla,0.9125,0.0875,19
multiple,0.925,0.06329113924050633,19
vanilla,0.9375,0.20212765957446807,20
multiple,0.925,0.06329113924050633,20
