method,power,fdp,seedB
vanilla,0.9625,0.18947368421052632,1
multiple,0.9625,0.02531645569620253,1
vanilla,0.9625,0.1348314606741573,2
multiple,0.9625,0.02531645569620253,2
vanilla,0.95,0.11627906976744186,3
multiple,0.9625,0.0375,3
vanilla,0.925,0.03896103896103896,4
multiple,0.9625,0.02531645569620253,4
vanilla,0.975,0.09302325581395349,5
multiple,0.9625,0.0375,5
vanilla,0.9625,0.16304347826086957,6
multiple,0.9625,0.0375,6
vanilla,0.925,0.10843373493975904,7
multiple,0.9625,0.0375,7
vanilla,0.95,0.09523809523809523,8
multiple,0.9625,0.02531645569620253,8
vanilla,0.975,0.16129032258064516,9
multiple,0.9625,0.0375,9
vanilla,0.95,0.07317073170731707,10
multiple,0.9625,0.0375,10
vanilla,0.95,0.08433734939759036,11
multiple,0.9625,0.04938271604938271,11
vanilla,0.9625,0.09411764705882353,12
multiple,0.9625,0.0375,12
vanilla,0.95,0.08433734939759036,13
multiple,0.9625,0.0375,13
vanilla,0.9625,0.18085106382978725,14
multiple,0.9625,0.02531645569620253,14
vanilla,0.9375,0.16666666666666666,15
multiple,0.9625,0.04938271604938271,15
vanilla,0.9875,0.20202020202020202,16
multiple,0.9625,0.04938271604938271,16
vanilla,0.9375,0.07407407407407407,17
multiple,0.9625,0.0375,17
vanilla,0.95,0.05,18
multiple,0.9625,0.0375,18
vanilla,0.9375,0.08536585365853659,19
multiple,0.9625,0.0375,19
vanilla,0.9375,0.0963855421686747,20
multiple,0.9625,0.0375,20
