method,power,fdp,seedB
vanilla,0.55,0.08333333333333333,1
multiple,0.3625,0.03333333333333333,1
vanilla,0.6125,0.07547169811320754,2
multiple,0.3125,0.038461538461538464,2
vanilla,0.5875,0.09615384615384616,3
multiple,0.35,0.034482758620689655,3
vanilla,0.55,0.06382978723404255,4
multiple,0.3375,0.03571428571428571,4
vanilla,0.55,0.08333333333333333,5
multiple,0.3625,0.03333333333333333,5
vanilla,0.6375,0.08928571428571429,6
multiple,0.35,0.06666666666666667,6
vanilla,0.5,0.047619047619047616,7
multiple,0.4125,0.05714285714285714,7
vanilla,0.6125,0.125,8
multiple,0.2875,0.041666666666666664,8
vanilla,0.375,0.0625,9
multiple,0.425,0.05555555555555555,9
vanilla,0.6,0.07692307692307693,10
multiple,0.3125,0.038461538461538464,10
vanilla,0.5125,0.06818181818181818,11
multiple,0.4625,0.05128205128205128,11
vanilla,0.6125,0.09259259259259259,12
multiple,0.4,0.058823529411764705,12
vanilla,0.5625,0.1,13
multiple,0.4,0.030303030303030304,13
vanilla,0.375,0.03225806451612903,14
multiple,0.3125,0.038461538461538464,14
vanilla,0.4625,0.0975609756097561,15
multiple,0.275,0,15
vanilla,0.475,0.05,16
multiple,0.35,0.034482758620689655,16
vanilla,0.4875,0.04878048780487805,17
multiple,0.2875,0.041666666666666664,17
vanilla,0.1375,0,18
multiple,0.4125,0.05714285714285714,18
vanilla,0.4625,0.075,19
multiple,0.325,0.037037037037037035,19
vanilla,0.425,0.08108108108108109,20
multiple,0.2375,0,20
