method,power,fdp,seedB
vanilla,0.95,0.15555555555555556,1
multiple,0.95,0.0379746835443038,1
vanilla,0.9,0.02702702702702703,2
multiple,0.95,0.0379746835443038,2
vanilla,0.925,0.05128205128205128,3
multiple,0.925,0.03896103896103896,3
vanilla,0.975,0.14285714285714285,4
multiple,0.925,0.05128205128205128,4
vanilla,0.95,0.09523809523809523,5
multiple,0.95,0.0379746835443038,5
vanilla,0.975,0.14285714285714285,6
multiple,0.925,0.02631578947368421,6
vanilla,0.975,0.10344827586206896,7
multiple,0.9625,0.0375,7
vanilla,0.9875,0.12222222222222222,8
multiple,0.9125,0.05194805194805195,8
vanilla,0.95,0.16483516483516483,9
multiple,0.9125,0.039473684210526314,9
vanilla,0.975,0.13333333333333333,10
multiple,0.9625,0.0375,10
vanilla,0.9375,0.10714285714285714,11
multiple,0.9375,0.038461538461538464,11
vanilla,0.9875,0.15053763440860216,12
multiple,0.9125,0.039473684210526314,12
vanilla,0.9625,0.125,13
multiple,0.9375,0.038461538461538464,13
vanilla,0.925,0.11904761904761904,14
multiple,0.9375,0.038461538461538464,14
vanilla,0.925,0.08641975308641975,15
multiple,0.95,0.0379746835443038,15
vanilla,0.975,0.15217391304347827,16
multiple,0.95,0.0379746835443038,16
vanilla,0.9375,0.08536585365853659,17
multiple,0.925,0.03896103896103896,17
vanilla,0.95,0.12643678160919541,18
multiple,0.95,0.0379746835443038,18
vanilla,0.95,0.09523809523809523,19
multiple,0.9375,0.05063291139240506,19
vanilla,0.95,0.15555555555555556,20
multiple,0.925,0.03896103896103896,20
