method,power,fdp,seedB
vanilla,0.9625,0.0375,1
multiple,0.975,0.025,1
vanilla,0.9625,0.02531645569620253,2
multiple,0.975,0.012658227848101266,2
vanilla,0.9625,0.02531645569620253,3
multiple,0.975,0.012658227848101266,3
vanilla,0.95,0.06172839506172839,4
multiple,0.975,0.025,4
vanilla,0.975,0.10344827586206896,5
multiple,0.975,0.025,5
vanilla,0.9625,0.04938271604938271,6
multiple,0.975,0.025,6
vanilla,0.9625,0.07228915662650602,7
multiple,0.975,0.012658227848101266,7
vanilla,0.9625,0.0375,8
multiple,0.975,0.025,8
vanilla,0.975,0.037037037037037035,9
multiple,0.975,0.025,9
vanilla,0.975,0.060240963855421686,10
multiple,0.975,0.025,10
vanilla,0.9625,0.01282051282051282,11
multiple,0.975,0.025,11
vanilla,0.9625,0.04938271604938271,12
multiple,0.975,0.025,12
vanilla,0.9375,0.038461538461538464,13
multiple,0.975,0.025,13
vanilla,0.9625,0.0375,14
multiple,0.975,0.025,14
vanilla,0.9625,0.0375,15
multiple,0.975,0.012658227848101266,15
vanilla,0.9625,0.04938271604938271,16
multiple,0.975,0.025,16
vanilla,0.975,0.04878048780487805,17
multiple,0.975,0.025,17
vanilla,0.975,0.037037037037037035,18
multiple,0.975,0.025,18
vanilla,0.975,0.037037037037037035,19
multiple,0.975,0.025,19
vanilla,0.975,0.037037037037037035,20
multiple,0.975,0.025,20
